6:31:45 PM 5/9/2020 | Rogue Echo Bumper Plates | safsdfdsf
6:32:25 PM 5/9/2020 | Rogue Color Echo Bumper Plates |  dsafsadf
6:32:37 PM 5/9/2020 | Rogue Olympic Plates | fasdfsf
4:57:05 PM 5/10/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
5:57:05 PM 5/10/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
6:10:04 PM 5/10/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
6:27:48 PM 5/10/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
4:46:04 PM 5/11/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
4:52:34 PM 5/12/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
4:52:34 PM 5/12/2020 | Rogue Calibrated KG Steel Plates | 0.25KG Calibrated Plate - Pair ✅, 0.5KG Calibrated Plate - Pair ✅, 1.25KG Calibrated Plate - Pair ✅, 2.5KG Calibrated Plate - Pair ✅, 
4:52:45 PM 5/12/2020 | Rogue Echo Bike | Echo Bike Wind Guard ✅, Echo Bike Phone Holder ✅, Echo Bike Bottle Cage ✅, 
4:52:52 PM 5/12/2020 | SML-2 Rogue 90" Monster Lite Squat Stand | Rogue S-Base Floor Mounting Feet - Pair ✅, 
4:52:58 PM 5/12/2020 | SML-3 Rogue 108" Monster Lite Squat Stand | Rogue S-Base Floor Mounting Feet - Pair ✅, 
4:55:07 PM 5/12/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
4:55:08 PM 5/12/2020 | Rogue Calibrated KG Steel Plates | 0.25KG Calibrated Plate - Pair ✅, 0.5KG Calibrated Plate - Pair ✅, 1.25KG Calibrated Plate - Pair ✅, 2.5KG Calibrated Plate - Pair ✅, 
4:55:22 PM 5/12/2020 | Rogue Echo Bike | Echo Bike Wind Guard ✅, Echo Bike Phone Holder ✅, Echo Bike Bottle Cage ✅, 
4:56:12 PM 5/12/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
4:56:13 PM 5/12/2020 | Rogue Calibrated KG Steel Plates | 0.25KG Calibrated Plate - Pair ✅, 0.5KG Calibrated Plate - Pair ✅, 1.25KG Calibrated Plate - Pair ✅, 2.5KG Calibrated Plate - Pair ✅, 
4:56:35 PM 5/12/2020 | Rogue Echo Bike | Echo Bike Wind Guard ✅, Echo Bike Phone Holder ✅, Echo Bike Bottle Cage ✅, 
4:57:15 PM 5/12/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
4:57:25 PM 5/12/2020 | Rogue Calibrated KG Steel Plates | 0.25KG Calibrated Plate - Pair ✅, 0.5KG Calibrated Plate - Pair ✅, 1.25KG Calibrated Plate - Pair ✅, 2.5KG Calibrated Plate - Pair ✅, 
4:57:40 PM 5/12/2020 | Rogue Echo Bike | Echo Bike Wind Guard ✅, Echo Bike Phone Holder ✅, Echo Bike Bottle Cage ✅, 
4:57:47 PM 5/12/2020 | SML-2 Rogue 90" Monster Lite Squat Stand | Rogue S-Base Floor Mounting Feet - Pair ✅, 
4:57:47 PM 5/12/2020 | SML-3 Rogue 108" Monster Lite Squat Stand | Rogue S-Base Floor Mounting Feet - Pair ✅, 
4:58:25 PM 5/12/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
5:00:51 PM 5/12/2020 | Rogue Bumper Plates by Hi-Temp | 
5:01:01 PM 5/12/2020 | Rogue HG 2.0 Bumper Plates | 
5:01:01 PM 5/12/2020 | Rogue LB Competition Plates | 
5:01:01 PM 5/12/2020 | Rogue Color LB Training 2.0 Plates | 
5:01:02 PM 5/12/2020 | Rogue Black Training LB Plates | 
5:01:02 PM 5/12/2020 | Rogue LB Training 2.0 Plates | 
5:01:02 PM 5/12/2020 | Rogue Echo Bumper Plates | 
5:01:03 PM 5/12/2020 | Rogue Color Echo Bumper Plates | 
5:01:03 PM 5/12/2020 | Rogue Machined Olympic Plates | 
5:01:03 PM 5/12/2020 | Rogue Fleck Plate | 
5:01:04 PM 5/12/2020 | Rogue Olympic Plates | 
5:01:04 PM 5/12/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
5:01:04 PM 5/12/2020 | Rogue LB Change Plates | 
5:01:04 PM 5/12/2020 | Rogue 6-Shooter Olympic Grip Plates | 
5:01:09 PM 5/12/2020 | Rogue Calibrated KG Steel Plates | 0.25KG Calibrated Plate - Pair ✅, 0.5KG Calibrated Plate - Pair ✅, 1.25KG Calibrated Plate - Pair ✅, 2.5KG Calibrated Plate - Pair ✅, 
5:01:09 PM 5/12/2020 | The Ohio Bar - Black Oxide | 
5:01:10 PM 5/12/2020 | The Ohio Bar - Black Zinc | 
5:01:10 PM 5/12/2020 | The Ohio Bar - E-Coat | 
5:01:10 PM 5/12/2020 | The Ohio Bar - Stainless Steel | 
5:01:11 PM 5/12/2020 | The Ohio Bar - Cerakote | 
5:01:11 PM 5/12/2020 | Rogue 45LB Ohio Power Bar - Bare Steel | 
5:01:11 PM 5/12/2020 | Rogue 45LB Ohio Power Bar - E-Coat | 
5:01:12 PM 5/12/2020 | Rogue 45LB Ohio Power Bar - Black Zinc | 
5:01:12 PM 5/12/2020 | Rogue 45LB Ohio Power Bar - Stainless Steel | 
5:01:12 PM 5/12/2020 | Rogue 45LB Ohio Power Bar - Cerakote | 
5:01:12 PM 5/12/2020 | The Rogue Bar 2.0 | 
5:01:13 PM 5/12/2020 | Rogue Echo Bar 2.0 | 
5:01:19 PM 5/12/2020 | Rogue Echo Bike | Echo Bike Wind Guard ✅, Echo Bike Phone Holder ✅, Echo Bike Bottle Cage ✅, 
5:01:20 PM 5/12/2020 | Rogue Flat Utility Bench 2.0 | 
5:01:20 PM 5/12/2020 | Rogue Adjustable Bench 2.0 | 
5:01:20 PM 5/12/2020 | AB-2 Adjustable Bench | 
5:01:25 PM 5/12/2020 | Rogue AB-3 Adjustable Bench | 
5:01:25 PM 5/12/2020 | Thompson Fat Pad™ | 
5:01:30 PM 5/12/2020 | Rogue Competition Fat Pad™ | 
5:01:31 PM 5/12/2020 | Rogue Fold Up Utility Bench | 
5:01:31 PM 5/12/2020 | SML-2 Rogue 90" Monster Lite Squat Stand | Rogue S-Base Floor Mounting Feet - Pair ✅, 
5:01:31 PM 5/12/2020 | SML-3 Rogue 108" Monster Lite Squat Stand | Rogue S-Base Floor Mounting Feet - Pair ✅, 
5:01:38 PM 5/12/2020 | Rogue S-2 Squat Stand 2.0 | 
5:01:38 PM 5/12/2020 | Rogue Echo Squat Stand 2.0 | 
5:03:49 PM 5/12/2020 | Rogue Bumper Plates by Hi-Temp | 
5:03:50 PM 5/12/2020 | Rogue HG 2.0 Bumper Plates | 
5:24:22 PM 5/12/2020 | Rogue Bumper Plates by Hi-Temp | 
5:24:22 PM 5/12/2020 | Rogue HG 2.0 Bumper Plates | 
5:24:23 PM 5/12/2020 | Rogue LB Competition Plates | 
5:24:23 PM 5/12/2020 | Rogue Color LB Training 2.0 Plates | 
5:24:23 PM 5/12/2020 | Rogue Black Training LB Plates | 
5:24:24 PM 5/12/2020 | Rogue LB Training 2.0 Plates | 
5:24:24 PM 5/12/2020 | Rogue Echo Bumper Plates | 
5:24:24 PM 5/12/2020 | Rogue Color Echo Bumper Plates | 
5:24:24 PM 5/12/2020 | Rogue Machined Olympic Plates | 
5:24:24 PM 5/12/2020 | Rogue Fleck Plate | 
5:24:25 PM 5/12/2020 | Rogue Olympic Plates | 
5:24:30 PM 5/12/2020 | Rogue Calibrated LB Steel Plates | 0.25LB Calibrated Plate - Pair ✅, 0.5LB Calibrated Plate - Pair ✅, 1LB Calibrated Plate - Pair ✅, 2.5LB Calibrated Plate - Pair ✅, 
5:24:35 PM 5/12/2020 | Rogue LB Change Plates | 
5:24:35 PM 5/12/2020 | Rogue 6-Shooter Olympic Grip Plates | 
5:24:35 PM 5/12/2020 | Rogue Calibrated KG Steel Plates | 0.25KG Calibrated Plate - Pair ✅, 0.5KG Calibrated Plate - Pair ✅, 1.25KG Calibrated Plate - Pair ✅, 2.5KG Calibrated Plate - Pair ✅, 
5:24:36 PM 5/12/2020 | The Ohio Bar - Black Oxide | 
5:24:36 PM 5/12/2020 | The Ohio Bar - Black Zinc | 
5:24:36 PM 5/12/2020 | The Ohio Bar - E-Coat | 
5:24:40 PM 5/12/2020 | The Ohio Bar - Stainless Steel | 
5:24:41 PM 5/12/2020 | The Ohio Bar - Cerakote | 
5:24:41 PM 5/12/2020 | Rogue 45LB Ohio Power Bar - Bare Steel | 
5:24:41 PM 5/12/2020 | Rogue 45LB Ohio Power Bar - E-Coat | 
